timestamp,inventory_path,document_name,url_used,local_path,status,bytes,sha256,notes

2025-11-28T00:08:37.786390,Summary Statistics,US Federal,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786499,Summary Statistics,US State,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786536,Summary Statistics,EU Directives/Regs,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786561,Summary Statistics,Germany (BGB),,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786583,Summary Statistics,France,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786606,Summary Statistics,Canada,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786630,Summary Statistics,Australia,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786664,Summary Statistics,UK,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786697,Summary Statistics,Datasets (CUAD etc),,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786721,Summary Statistics,Case Law,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786743,Summary Statistics,Industry Standards,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786766,Summary Statistics,TOTAL,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786788,Priority Legend,P0,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786809,Priority Legend,P1,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:08:37.786830,Priority Legend,P2,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:09:07.870773,1. US FEDERAL LAW / 1.1 US Code Titles,17 USC,https://uscode.house.gov/download/download.shtml,raw/us_federal/17-usc,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d0583f890>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
2025-11-28T00:09:38.010661,1. US FEDERAL LAW / 1.1 US Code Titles,35 USC,https://uscode.house.gov/download/download.shtml,raw/us_federal/35-usc,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dd010>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
2025-11-28T00:10:08.086694,1. US FEDERAL LAW / 1.1 US Code Titles,18 USC Ch.63,https://uscode.house.gov/download/download.shtml,raw/us_federal/18-usc-ch-63,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dd6d0>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
2025-11-28T00:10:09.013309,1. US FEDERAL LAW / 1.1 US Code Titles,15 USC §1681,https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act,raw/us_federal/15-usc-ss1681,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.ftc.gov/legal-library/browse/statutes/fair-credit-reporting-act
2025-11-28T00:10:09.081918,1. US FEDERAL LAW / 1.1 US Code Titles,15 USC §6801,https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act,raw/us_federal/15-usc-ss6801,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.ftc.gov/business-guidance/privacy-security/gramm-leach-bliley-act
2025-11-28T00:10:09.873369,1. US FEDERAL LAW / 1.2 Code of Federal Regulations,29 CFR,https://www.ecfr.gov/current/title-29,raw/us_federal/29-cfr,success,4272,768f528a8f8b06deceb59224622df3cc5039d8c296277372954d2f873756d48f,
2025-11-28T00:10:10.471719,1. US FEDERAL LAW / 1.2 Code of Federal Regulations,37 CFR,https://www.ecfr.gov/current/title-37,raw/us_federal/37-cfr,success,4272,5b1a7fc0eae3e435936a7698eadb1f16da2f8f9dc10e7cab0e10f9e83a586ea6,
2025-11-28T00:10:11.072371,1. US FEDERAL LAW / 1.2 Code of Federal Regulations,16 CFR Part 310,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-310,raw/us_federal/16-cfr-part-310,success,4272,01589d2cfde314587dbb541e8b2c49068149fa76f84a56191d9a8ccb41b3fb92,
2025-11-28T00:10:11.708609,1. US FEDERAL LAW / 1.2 Code of Federal Regulations,16 CFR Part 314,https://www.ecfr.gov/current/title-16/part-314,raw/us_federal/16-cfr-part-314,success,4272,47a1ff3fbd3275c64d5f6da5fd44d8e175f3a842308fa31fed3f8bca819342f3,
2025-11-28T00:10:11.955966,1. US FEDERAL LAW / 1.3 Named Federal Statutes,Defend Trade Secrets Act,https://www.congress.gov/114/plaws/publ153/PLAW-114publ153.pdf,raw/us_federal/defend-trade-secrets-act.pdf,success,262018,2c526decb25a6496544c24cdf56d4de773a1fcbd57c0721d982a9d98c8cd630f,
2025-11-28T00:10:12.046794,1. US FEDERAL LAW / 1.3 Named Federal Statutes,Work-for-Hire Definition,https://www.copyright.gov/title17/,raw/us_federal/work-for-hire-definition,success,35265,787cb0b8b81e3feaa2208b8e65f4e41ed1aa363106cf90ad348ab62aa293f88e,
2025-11-28T00:10:12.122263,1. US FEDERAL LAW / 1.3 Named Federal Statutes,Copyright Ownership,https://www.copyright.gov/title17/,raw/us_federal/copyright-ownership,success,35265,787cb0b8b81e3feaa2208b8e65f4e41ed1aa363106cf90ad348ab62aa293f88e,
2025-11-28T00:10:12.725612,1. US FEDERAL LAW / 1.3 Named Federal Statutes,FTC Non-Compete Rule,https://www.federalregister.gov/documents/2024/05/07/2024-09171/non-compete-clause-rule,raw/us_federal/ftc-non-compete-rule,success,4272,6c490dac33a4f6065f6abd3e94ceafb5f0236d505454632693802ae5a32580bc,
2025-11-28T00:10:13.298266,1. US FEDERAL LAW / 1.3 Named Federal Statutes,ADA Title I,https://www.eeoc.gov/statutes/titles-i-and-v-americans-disabilities-act-1990-ada,raw/us_federal/ada-title-i,success,118596,f24d430345a01f1fc9c9c37c6b3c8636d517c681bd9090bafef17f2d4c7a29a5,
2025-11-28T00:10:13.811368,1. US FEDERAL LAW / 1.4 Bulk Download Sources,GovInfo Bulk Data,https://www.govinfo.gov/bulkdata/,raw/us_federal/govinfo-bulk-data,success,67383,4b6a6e5eb328fa684b058bf9582448ae6f8a25d740d0f066e51dd927ff2dafea,
2025-11-28T00:10:14.397347,1. US FEDERAL LAW / 1.4 Bulk Download Sources,eCFR API v1,https://www.ecfr.gov/developers/documentation/api/v1,raw/us_federal/ecfr-api-v1,success,4272,00922d45d25f0a40f4c9420490fb335e75987f1da2061bcd8e6bcff825b541af,
2025-11-28T00:10:44.494022,1. US FEDERAL LAW / 1.4 Bulk Download Sources,House.gov Download,https://uscode.house.gov/download/download.shtml,raw/us_federal/house-gov-download,error,0,,"Request error: HTTPSConnectionPool(host='uscode.house.gov', port=443): Max retries exceeded with url: /download/download.shtml (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7c5d055dce00>, 'Connection to uscode.house.gov timed out. (connect timeout=30)'))"
2025-11-28T00:10:44.576640,1. US FEDERAL LAW / 1.4 Bulk Download Sources,Congress.gov,https://www.congress.gov/help/using-data-offsite,raw/us_federal/congress-gov,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://www.congress.gov/help/using-data-offsite
2025-11-28T00:10:44.681489,2. US STATE LAW / 2.1 California (P0 - Most Restrictive),Non-Compete Ban,https://law.justia.com/codes/california/code-bpc/,raw/us_state/non-compete-ban,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://law.justia.com/codes/california/code-bpc/
2025-11-28T00:10:45.616008,2. US STATE LAW / 2.1 California (P0 - Most Restrictive),Freelance Worker Protection Act,https://leginfo.legislature.ca.gov/,raw/us_state/freelance-worker-protection-act,success,162782,a9436c1ccbb969d2a72faf6bfb7a1ffc5e205a175efa919df6d871147c3af25a,
2025-11-28T00:10:46.539771,2. US STATE LAW / 2.1 California (P0 - Most Restrictive),ABC Test (IC Classification),https://leginfo.legislature.ca.gov/,raw/us_state/abc-test-ic-classification,success,162782,1d290744ba925a4ca504435ac655c821dad08e9a02b2712e1bd83be26ce60904,
2025-11-28T00:10:47.458535,2. US STATE LAW / 2.1 California (P0 - Most Restrictive),SILENCED Act,https://leginfo.legislature.ca.gov/,raw/us_state/silenced-act,success,164510,e3c22032a9db3e2dfbc320bae284b0413575ceaa5dda3c1ab86d91064f05f907,
2025-11-28T00:10:48.678030,2. US STATE LAW / 2.1 California (P0 - Most Restrictive),CCPA/CPRA,https://oag.ca.gov/privacy/ccpa,raw/us_state/ccpa-cpra,success,124204,02218b57d20f6ad5d9f1c8dbb82ec0682ac2a1642c17e89e5c54301c4c63723e,
2025-11-28T00:10:49.054579,2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Freelance Isn't Free Act (State),https://dol.ny.gov/freelance-isnt-free-act,raw/us_state/freelance-isn-t-free-act-state,success,28498,ca0b66cefec7e251bef1b240d504fd0907d61496941b5c9a43d0f3dbcaeac0c1,
2025-11-28T00:10:49.358196,2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Freelance Isn't Free Act (NYC),https://www.nyc.gov/site/dca/about/freelance-isnt-free-act.page,raw/us_state/freelance-isn-t-free-act-nyc,success,24521,71ae7beaf302def42ad06142096ce379fe4c63e3c40ea1e44c5d18f3ddb6a945,
2025-11-28T00:10:50.005570,2. US STATE LAW / 2.2 New York (P0 - Freelancer Protections),Non-Compete Standards,https://www.nysenate.gov/legislation/laws/GOB,raw/us_state/non-compete-standards,success,39443,f042d1eb21de998e5fd70b9d410595fea47671772457afdfe9c53927a3f9bb21,
2025-11-28T00:10:50.126786,2. US STATE LAW / 2.3 Texas (P1 - Employer-Friendly),Non-Compete Enforceability,https://codes.findlaw.com/tx/business-and-commerce-code/,raw/us_state/non-compete-enforceability,error,0,,HTTP error: 403 Client Error: Forbidden for url: https://codes.findlaw.com/tx/business-and-commerce-code/
2025-11-28T00:10:50.888686,2. US STATE LAW / 2.3 Texas (P1 - Employer-Friendly),Healthcare Non-Compete,https://capitol.texas.gov/,raw/us_state/healthcare-non-compete,success,34033,441a2988bd046c27e3f3131f2e5ab45aa887b4ebf6186bfe7f9a9bc8691b3fa6,
2025-11-28T00:10:51.503894,2. US STATE LAW / 2.4 Delaware (P1 - Governing Law Choice),Choice of Law,https://delcode.delaware.gov/title6/,raw/us_state/choice-of-law,success,21411,c7fb5f910f5ab2ceeb6834e078fa350d8a4c1d40a90c0f15bebf9b34b57af34e,
2025-11-28T00:10:52.121479,2. US STATE LAW / 2.4 Delaware (P1 - Governing Law Choice),Contract Law,https://delcode.delaware.gov/title6/c027/,raw/us_state/contract-law,success,7660,096323f253d05aa45b72fafe27ad80e1027a31ba73c5c0ef4386998090a8bc75,
2025-11-28T00:10:52.121652,2. US STATE LAW / 2.5 Other Key States,Restrictive Covenant Law - $101K+ threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121688,2. US STATE LAW / 2.5 Other Key States,Freedom to Work Act - $75K threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121715,2. US STATE LAW / 2.5 Other Key States,Non-Compete Law - $250K IC threshold,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121739,2. US STATE LAW / 2.5 Other Key States,Non-Compete + CHOICE Act - 4-year expansion,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121763,2. US STATE LAW / 2.5 Other Key States,ABC Test - Strict IC classification,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121796,2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121818,2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
2025-11-28T00:10:52.121840,2. US STATE LAW / 2.5 Other Key States,Non-Compete Ban - Similar to CA,,,no_direct_link,0,,No direct URL in inventory; extend downloader to handle by citation or identifier.
